**** BEGIN LOGGING AT Thu May 26 20:35:57 2011

May 26 20:35:57 *	Now talking on ##monitoringsucks
May 26 21:43:54 <jdixon>	whack: well, yeah.. a "last known" state engine for booleans
May 26 21:43:58 <lusis>	back
May 26 21:44:00 <vvuksan>	sure I'd like to build something better but that's a lot of work
May 26 21:44:10 <ickymettle>	you've got boolean (broke, not broke), trending - (within thresh/out of thresh) etc ...
May 26 21:44:19 <lusis>	vvuksan, I was thinking that maybe we can spawn some ideas and attack it more modular
May 26 21:44:21 <vvuksan>	thus many have failed
May 26 21:44:32 <mconigliaro>	kallistec: yes, something like that
May 26 21:44:33 <whack>	ickymettle: and most of my checks have details in the output that areuseful for debugging
May 26 21:44:42 <ickymettle>	oh absolutely
May 26 21:44:43 <jdixon>	vvuksan: that's why we(?) need to focus on components with standard interfaces
May 26 21:44:43 <vvuksan>	lusis: sure but someone has to have the high level vision
May 26 21:44:45 <joemiller>	can't you view boolean as a treshhold?  something is mostly OK, then it changes to BAD. that is outside the OK threshold =)
May 26 21:44:51 <lusis>	vvuksan, like "hey I've got this really cool alerting engine based on a rule set"
May 26 21:44:57 <jdixon>	there's been a *lot* of work to that effect lately
May 26 21:44:57 <lusis>	vvuksan, but I hear ya
May 26 21:45:01 <ickymettle>	an "event" should kinda have a state and some easily parsable debugging output
May 26 21:45:02 <whack>	joemiller: right, what I'm saying is there's other data attached to each check that is not just a metric
May 26 21:45:04 <ickymettle>	and performance output
May 26 21:45:10 <ickymettle>	nagios got it kinda close with the perfdata
May 26 21:45:11 <vvuksan>	lusis: I just don't think you can attack it piecemeal
May 26 21:45:17 <lusis>	vvuksan, hrmmm
May 26 21:45:17 <joemiller>	whack, aye, i understand, and agree
May 26 21:45:20 <portertech>	who has btried mcollective for active checks?
May 26 21:45:25 <joemiller>	Volcane has =)
May 26 21:45:27 <vvuksan>	you have to have a high level vision 
May 26 21:45:28 <ickymettle>	it's just imeplemented completely differently for nearly every check (unless they've followed the actual perfdata spec)
May 26 21:45:41 <vvuksan>	you can certainly decide which features to attack first
May 26 21:45:44 <vvuksan>	which is only prudent
May 26 21:45:45 <whack>	ickymettle: meh, I think perfdata is a special case of something that's not a special case
May 26 21:45:50 <lusis>	I'll be honest I like mcollective but it's too many moving parts for me right now
May 26 21:45:58 <whack>	check "fail" is a metric, just like "how long this took" even if it's the same script
May 26 21:45:59 <lusis>	no offense to ANY work that Volcane has done
May 26 21:46:03 <vvuksan>	but still doing piece by piece may be counterproductive. Dunno
May 26 21:46:16 <lusis>	vvuksan, gotcha
May 26 21:46:19 <jdixon>	I disagree
May 26 21:46:26 <portertech>	lusis: agreed, unless that part of your infra is already in place for other uses
May 26 21:46:26 <jdixon>	it avoids lock-in
May 26 21:46:33 <portertech>	if you are a heavy puppet user etc
May 26 21:46:39 <ickymettle>	I kinda liked the concept of splitting the event colelction/correlation/alerting and the actual scheduling/execution of the checks
May 26 21:46:39 <lusis>	portertech, I don't even run my own chef server
May 26 21:46:45 <jdixon>	increases competition 
May 26 21:46:49 <whack>	ickymettle: +1
May 26 21:46:57 <lusis>	but I want to able to drive WHATEVER from chef/puppet
May 26 21:47:00 <portertech>	lusis: me neither, well, an old 0.7.x is kicking around on gentoo :P
May 26 21:47:03 <jdixon>	ickymettle: oh hey, great idea. wish I'd said that. ;)
May 26 21:47:04 <whack>	schedule checks, ship results somewhere, have somethign else react to the data
May 26 21:47:08 <ickymettle>	those big enterprise guys were all over it
May 26 21:47:15 <ickymettle>	I was really excited for rivermuse
May 26 21:47:20 <joemiller>	whack, aye, that's what i liked about flapjack
May 26 21:47:26 <ickymettle>	which basically was an event collection/correlation engine
May 26 21:47:32 <kallistec>	whack: yeah that's the approach I'm taking
May 26 21:47:34 <portertech>	lusis: you have a bot or a transcript of all of this right?
May 26 21:47:35 <ickymettle>	cos what i'd like in an "alerting system"
May 26 21:47:43 <lusis>	portertech, lemme make sure but yeah
May 26 21:47:44 <ickymettle>	is something that can take inputs from all over the place
May 26 21:47:47 <lusis>	my client is logging
May 26 21:47:51 <portertech>	me too
May 26 21:48:06 <kallistec>	whack: but what about rescheduling checks on shorter interval after failure?
May 26 21:48:08 <ickymettle>	for instance: a chef handler that fires an event into this "collector" when a resouce fails or an exception is thrown
May 26 21:48:13 <vvuksan>	what I think people are missing out is that basic stuff like result checking then sending alert is an easy piece of the puzzle
May 26 21:48:15 <lusis>	we're good
May 26 21:48:19 <whack>	kallistec: depends on how you implement it
May 26 21:48:27 <lusis>	vvuksan, so what's the most complex part then?
May 26 21:48:29 <vvuksan>	problem because all the other "unsexy" pieces of the puzzle
May 26 21:48:31 <lusis>	maybe I missed it
May 26 21:48:31 <ickymettle>	you have someother scheduler that is running active tests + trending stuff etc ... feeds back again into a central collector
May 26 21:48:39 <ickymettle>	throwing my crazy guy haton
May 26 21:48:44 <ickymettle>	with all this event data in one place
May 26 21:48:45 <vvuksan>	like notification intervals, service dependencies etc. etc.
May 26 21:48:49 <whack>	I mean, you could just dto scheduling with a shell script and at(8)
May 26 21:48:51 <vvuksan>	these are not hard
May 26 21:48:54 <ickymettle>	you could start doing really interesting correlations on the "why"
May 26 21:48:54 <kallistec>	whack: wdym? what should it look like IYO?
May 26 21:48:56 <vvuksan>	just not very sexy to implement
May 26 21:48:59 <joemiller>	i think it's the configuration that is not sexy
May 26 21:49:05 <lusis>	vvuksan, I'd be happy to do that stuff myself
May 26 21:49:08 <joemiller>	keeping configuration aligned with reality
May 26 21:49:23 <ickymettle>	oh our apaches just dropped req/sec - oh look chef pushed an APC change to those boxes 10 secs agao then it all blew up
May 26 21:49:43 <joemiller>	it's like dev guys who would rather write code than write tests.
May 26 21:50:15 <geekle_>	My crazy guy hat involves nodes writting data to a message bus and "super nodes" pick the data up.
May 26 21:50:22 <kallistec>	vvuksan: yeah, the deps between services are hard to implement
May 26 21:50:32 <lusis>	geekle_, you just invented skype ;)
May 26 21:50:34 <geekle_>	Each super node has a role (or multiple roles)... alerting, dash, charting, trending etc.
May 26 21:50:39 <vvuksan>	also just the sheer amount of testing required to write something from scratch
May 26 21:50:45 <geekle_>	lusis: OMFG BBQ :P
May 26 21:50:50 <vvuksan>	address all the edge cases is not for the faint of heart
May 26 21:50:55 <lusis>	kallistec, vvuksan don't our CM tools already cover that?
May 26 21:50:59 <lusis>	to some degree?
May 26 21:51:09 <ickymettle>	FYI: rivermuse I mentioned earlier .... it's "kinda" OSS built by ex-enterprise dudes but it is interesting http://www.rivermuse.com/products/overview/
May 26 21:51:24 <ickymettle>	heavy on the ITIL speak
May 26 21:51:26 <vvuksan>	lusis: perhaps
May 26 21:51:35 <vvuksan>	lusis: but you'd have to figure out/test it
May 26 21:51:46 <lusis>	vvuksan, yeah
May 26 21:51:49 <lusis>	geekle_, heh
May 26 21:52:08 <vvuksan>	IMO this is why many projects have failed
May 26 21:52:26 <kallistec>	lusis: yeah, even if you have the info, it's something that the more centralized alert dispatcher dude has to know
May 26 21:52:29 <ickymettle>	one thing nagios has is 10-15 years of trust
May 26 21:52:38 <vvuksan>	ickymettle: ++
May 26 21:52:41 <jdixon>	ickymettle: it's not trust
May 26 21:52:41 <lusis>	ickymettle, yep
May 26 21:52:45 <jdixon>	it's lack of competition
May 26 21:52:51 <lusis>	jdixon, nah
May 26 21:52:53 <geekle_>	ickymettle: aye.
May 26 21:52:55 <ickymettle>	well sorry not trust per-se but battlefield experience
May 26 21:52:57 <jdixon>	"acceptance"
May 26 21:53:05 <lusis>	jdixon, acceptance is better ;)
May 26 21:53:10 <ickymettle>	you can be pretty confident if configured right it will largely work
May 26 21:53:15 <kallistec>	jdixon: there's a bit of a leap of faith to say this thing will wake me up when shit goes wrong
May 26 21:53:17 <vvuksan>	cause again what if your alerter fails :-)
May 26 21:53:21 <kallistec>	instead of crashing
May 26 21:53:28 <ickymettle>	and we've "accepted" the limitations/issues/weaknesses 
May 26 21:53:34 <jdixon>	watching the watchers and all that
May 26 21:53:36 <lusis>	vvuksan, that's a bit too meta for my tastes right now
May 26 21:53:40 <lusis>	watching the..
May 26 21:53:41 <lusis>	what he said
May 26 21:53:42 <joemiller>	CVS has battlefield experience but no one uses it anymore
May 26 21:53:47 <jdixon>	:)
May 26 21:53:57 <ickymettle>	joemiller: but there are viable working alternatives
May 26 21:54:05 <joemiller>	competition? =)
May 26 21:54:17 <lusis>	okay so quick round the room kind of thing
May 26 21:54:19 <joemiller>	viable being the key word, i suppose
May 26 21:54:22 <ickymettle>	well look at the mess DVCS competition is now
May 26 21:54:27 <jdixon>	time to organize a RFC for a modern commodotized monitoring standards?
May 26 21:54:28 <lusis>	two things you like about nagios
May 26 21:54:29 <ickymettle>	git kinda rising to the top
May 26 21:54:32 <vvuksan>	also look at Icinga
May 26 21:54:37 <vvuksan>	they started off somewhat strong
May 26 21:54:42 <ickymettle>	but man do I hate it when I run into something in bazzar or mercurial
May 26 21:54:44 <vvuksan>	but things have kinda stalled
May 26 21:54:52 <lusis>	vvuksan, they had a tainted start
May 26 21:54:57 <vvuksan>	it's an improvement
May 26 21:55:01 <joemiller>	nagios:  1) ease/speed of writing monitors
May 26 21:55:02 <jdixon>	you have new projects coming out every day doing the same sort of stuff as ganglia/graphite
May 26 21:55:06 <jdixon>	reinventing their own storage format
May 26 21:55:08 <jdixon>	stupid
May 26 21:55:11 <ickymettle>	what was that other french packaging of nagios
May 26 21:55:11 <vvuksan>	yep
May 26 21:55:14 <geekle_>	lusis: 1) Service/Host Relationships/Deps 2) Escalation
May 26 21:55:14 <jdixon>	look at the mozilla projects
May 26 21:55:15 <lusis>	jdixon, I think graphing/display is covered
May 26 21:55:17 <jdixon>	project
May 26 21:55:18 <ickymettle>	I can't recall the name right now
May 26 21:55:29 <jdixon>	lusis: point is, fault detection can use the same format
May 26 21:55:34 <lusis>	jdixon, right
May 26 21:55:38 <jdixon>	if people stop reinventing it
May 26 21:55:43 <jdixon>	accept a simple standard
May 26 21:55:43 <whack>	lusis: 1) I already know how to use it, 2) ... ?
May 26 21:55:49 <lusis>	anyone else?
May 26 21:55:50 <lusis>	heh
May 26 21:55:53 <jdixon>	and work on the HARD stuff in parallel
May 26 21:55:59 <joemiller>	hrm, graphing nagios checks
May 26 21:56:05 <kallistec>	lusis: nagios has all the plugins
May 26 21:56:07 <whack>	geekle_: I use neither of those features, hehe
May 26 21:56:14 <jdixon>	nagios -> perfdata -> pnp4nagios -> rrd -> graphite
May 26 21:56:16 <lusis>	kallistec, and perfdata to boot
May 26 21:56:24 <whack>	I barely use any of the default plugins in nagios, too
May 26 21:56:25 <lusis>	jdixon, that's a fucking fucked up workflow
May 26 21:56:31 <jdixon>	not really
May 26 21:56:31 <whack>	I don't care abput cpu usage, etc.
May 26 21:56:32 <kallistec>	lusis: and new ones get written for it because it's the winner
May 26 21:56:33 <jdixon>	we already used nagios
May 26 21:56:37 <whack>	check_http is useful, I suppose
May 26 21:56:39 <jdixon>	so we added pnp4nagios
May 26 21:56:42 <ickymettle>	lusis: agree
May 26 21:56:42 <jdixon>	which creates rrd
May 26 21:56:46 <lusis>	but pnp4nagios works
May 26 21:56:49 <jdixon>	then we tossed graphite on there
May 26 21:56:50 <lusis>	roughly
May 26 21:56:52 <geekle_>	lusis: 3) Nagios plugins... So easy to write too.
May 26 21:56:53 <jdixon>	now we have advanced correlation
May 26 21:56:54 <lusis>	jdixon, ahh okay
May 26 21:57:03 <joemiller>	geekle_, you only get 2 =)
May 26 21:57:07 <geekle_>	:D
May 26 21:57:09 <lusis>	hahaha
May 26 21:57:21 <jdixon>	lusis: I don't LIKE it, but it's cheap and moderately useful
May 26 21:57:22 <whack>	true enough, exit codes are pretty easy to manage.
May 26 21:57:30 <lusis>	whack, yep
May 26 21:57:36 <ickymettle>	one thing that conceptually bothers me is we have nagios running all these checks and alerting, then we have graphite AND ganglia running collecting data but we action that manually
May 26 21:57:44 <ickymettle>	"look at that spike"
May 26 21:57:46 <jdixon>	it would be great to have a full feature matrix of all OSS monitoring/trending software
May 26 21:57:50 <lusis>	ickymettle, that's why I want a "mini nagios" for just alerting
May 26 21:57:51 <jdixon>	so we could look at the best of breed
May 26 21:57:54 <jdixon>	and see what fits
May 26 21:58:01 <joemiller>	lusis, flapjack
May 26 21:58:01 <ickymettle>	then a bunch of dudes scramble for a while to see what might have caused it
May 26 21:58:03 <jdixon>	lusis: isn't that mon?
May 26 21:58:17 <lusis>	jdixon, well escalations and deps too
May 26 21:58:29 <jdixon>	pageeduty ;)
May 26 21:58:29 <lusis>	there's a core of nagios that I'd love to just be able to talk to with an API
May 26 21:58:32 <jdixon>	er, pagerduty
May 26 21:58:36 <jdixon>	where the fuck is halligan?
May 26 21:58:40 <whack>	lusis: I'd prefer not nagios since I don't think in "hosts"
May 26 21:58:55 <jdixon>	whack: agreed, but most people still do. sigh.
May 26 21:58:56 <whack>	and nagios calls "services" what I do not.
May 26 21:58:57 <ickymettle>	I guess what i'm getting at is we collect all this data in different places and there are relationships in there - this is probbaly going above and beyond but looking at ways to look for these relationships would be a big monitoring win IMHO
May 26 21:58:59 <lusis>	whack, yeah totally
May 26 21:59:03 <whack>	"check_tcp" is not a service.
May 26 21:59:04 <whack>	it's a check.
May 26 21:59:10 <jdixon>	it's all about the metrics.
May 26 21:59:19 <whack>	I have like 20 "services" to make sure our SOLR backends are happy at loggly.
May 26 21:59:19 <lusis>	ickymettle, right I'm big on not double-dipping
May 26 21:59:24 <lusis>	I only want to collect once
May 26 21:59:27 <jdixon>	I NEED THE DATA, BITCHES.
May 26 21:59:36 <lusis>	hahaha
May 26 21:59:55 <geekle_>	"It's all about the metrics baby"
May 26 22:00:01 <jdixon>	indeed
May 26 22:00:22 <geekle_>	collect once and collect often IMHO
May 26 22:00:49 <ickymettle>	saying goodbye to munin was the best thing ever
May 26 22:00:53 <jdixon>	anyone interested in working towards some documented "standards" to help identify interchangeable components?
May 26 22:01:01 <lusis>	jdixon, feck standards
May 26 22:01:02 <lusis>	jk
May 26 22:01:08 <whack>	jdixon: so long as that documentation documents existing things
May 26 22:01:09 <jdixon>	you know what I mean
May 26 22:01:10 <whack>	not new things
May 26 22:01:13 <lusis>	sorry, I put on my ben black hat for a minute
May 26 22:01:15 <lusis>	;)
May 26 22:01:16 <jdixon>	not a fucking standards org
May 26 22:01:24 *	lusis pokes
May 26 22:01:27 <geekle_>	brb
May 26 22:01:41 <jdixon>	motivate developers to work towards interchangeable pieces and standards
May 26 22:01:52 <jdixon>	increase competition on a micro scale
May 26 22:02:09 <lusis>	hmmmmm
May 26 22:02:13 <jdixon>	don't give us macro monitoring projects
May 26 22:02:18 <ickymettle>	oh god wasn't there some CIM (Common Information Model) or something a lot of those big monitoring vendors used to rant on about
May 26 22:02:19 <kallistec>	jdixon: you could do that maybe on inputs to trending software
May 26 22:02:19 <jdixon>	give us useful pieces that excel at one thing
May 26 22:02:24 <lusis>	ickymettle, yeah heh
May 26 22:02:26 <jdixon>	kallistec: exactly
May 26 22:02:36 <lusis>	ickymettle, someone brought it up when I posted on the mailing list one time
May 26 22:02:45 <jdixon>	get rid of the incompatible formats/mechanisms that suck
May 26 22:03:04 <jdixon>	the problem is a "market" of big monitoring suites that all SUCK at something
May 26 22:03:16 <kallistec>	jdixon: as far as fault detection/alerting stuff, I think you can see from this discussion there's a lot of area to be explored as far as what the boundaries are between components
May 26 22:03:21 <ickymettle>	unfrotunately mos of the time they suck at monitoring
May 26 22:03:21 <ickymettle>	hehe
May 26 22:03:27 <kallistec>	and what information goes between them
May 26 22:03:31 <lusis>	okay another round robing
May 26 22:03:38 <lusis>	s/robing/robin
May 26 22:03:57 <lusis>	what ARE the components?
May 26 22:04:03 <lusis>	just for summations sake
May 26 22:04:07 <lusis>	one line if possible ;)
May 26 22:04:21 <jdixon>	metrics collection
May 26 22:04:24 <ickymettle>	collection / correlation / alerting / command + control
May 26 22:04:32 <jdixon>	storage (caching and persistence)
May 26 22:04:39 <jdixon>	state engine
May 26 22:04:49 <ickymettle>	scheduling
May 26 22:04:53 <jdixon>	fault detection (threshhold rules)
May 26 22:05:02 <jdixon>	notifications (state engine)
May 26 22:05:05 <jdixon>	notifications (output)
May 26 22:05:08 <jdixon>	escalations
May 26 22:05:11 <jdixon>	dependencies
May 26 22:05:15 *	lusis smacks jdixon
May 26 22:05:17 <jdixon>	api
May 26 22:05:31 *	jdixon stfu's?
May 26 22:05:34 <lusis>	hahaha
May 26 22:05:47 <lusis>	kallistec? whack?
May 26 22:05:52 <kallistec>	hrm
May 26 22:05:58 <kallistec>	you need all of those things
May 26 22:06:07 <jdixon>	graphing
May 26 22:06:10 <kallistec>	some of them are more tightly coupled than others
May 26 22:06:10 <jdixon>	dashboard
May 26 22:06:20 <jdixon>	regression analytics (cap plan)
May 26 22:06:22 <kallistec>	does that mean they go in one application?
May 26 22:06:42 <geekle_>	ickymettle++
May 26 22:06:46 <lusis>	kallistec, good question.
May 26 22:07:13 <kallistec>	if you do, some features work better
May 26 22:07:29 <ickymettle>	that's a critical question
May 26 22:07:35 <kallistec>	but you have less flexibility in design
May 26 22:07:39 <lusis>	so exitcode 2 then
May 26 22:07:39 <ickymettle>	is it one app to do EVERYTHING
May 26 22:07:41 <lusis>	=P
May 26 22:07:51 <ickymettle>	or interoperability
May 26 22:07:53 <lusis>	ickymettle, I don't think it can be
May 26 22:08:00 <ickymettle>	agree
May 26 22:08:02 <lusis>	I think some API is key though
May 26 22:08:11 <lusis>	and that whatever components exist
May 26 22:08:13 <lusis>	realize this fact
May 26 22:08:17 <lusis>	they aren't the system of record
May 26 22:08:40 <lusis>	I mean they COULD be to some people
May 26 22:08:44 <kallistec>	for example, critical doesn't have a state machine yet. I could put it on the client, but then you can't easily modify via api
May 26 22:09:25 <lusis>	kallistec, I'm going to take a look at critical a bit tomorrow
May 26 22:09:41 <kallistec>	or, the hypothetical server could ping you back and say "that's broken, check it more"
May 26 22:09:54 <kallistec>	but that introduces more complexity into the design
May 26 22:10:02 <kallistec>	as just one example
May 26 22:10:23 <lusis>	I see why whack got quiet
May 26 22:10:29 <lusis>	he's off benchmarking netty
May 26 22:10:30 <lusis>	;)
May 26 22:10:37 <whack>	hah
May 26 22:10:50 <lusis>	I have twitter wired directly into my brain 
May 26 22:10:59 <lusis>	anyway
May 26 22:11:00 <lusis>	heh
May 26 22:11:19 <lusis>	okay so anything else? I figured a brain dump of random shit was a good first start
May 26 22:11:39 <lusis>	jdixon, I'll try some sort of matrix like you mentioned
May 26 22:11:42 <lusis>	hopefully this weekend
May 26 22:12:18 <kallistec>	lusis: yeah, one more thing
May 26 22:12:23 <jdixon>	lusis: github it?
May 26 22:12:30 <lusis>	kallistec, yessir?
May 26 22:12:35 <lusis>	jdixon, good call
May 26 22:12:42 <whack>	lusis: I was recently working on some new monitoring stuff to replace nagios with
May 26 22:12:45 <kallistec>	ppl ask about testing chef cookbooks all the time
May 26 22:12:48 <whack>	decided I hated myself, so I used node.js
May 26 22:12:52 <lusis>	whack, hahaha
May 26 22:12:53 <whack>	15 minutes later, I gave up.
May 26 22:13:03 <jdixon>	whack: did you see the mozilla thing?
May 26 22:13:03 <kallistec>	but the rejoinder is that's just monitoring
May 26 22:13:08 <whack>	jdixon: mozilla thing?
May 26 22:13:31 <jdixon>	http://graphs-new.mozilla.org/
May 26 22:13:34 <kallistec>	so one thing I'm interested in is making it easy to use something as both
May 26 22:13:48 <jdixon>	another reinvented wheel
May 26 22:13:51 <kallistec>	i.e. run all the checks against this box
May 26 22:14:04 <kallistec>	rspec style if you will
May 26 22:14:11 <whack>	jdixon: notice how there's no host obsession with those graphs?
May 26 22:14:16 <whack>	gasp
May 26 22:14:17 <whack>	metrics
May 26 22:14:17 <kallistec>	then in prod you run them scheduled
May 26 22:14:18 <whack>	without
May 26 22:14:18 <whack>	a
May 26 22:14:19 <whack>	host
May 26 22:14:20 <jdixon>	heh
May 26 22:14:21 <jdixon>	I know
May 26 22:14:21 <whack>	!?!
May 26 22:14:25 <whack>	fucking nagios :(
May 26 22:14:29 <lusis>	kallistec, hmmmm
May 26 22:15:30 <kallistec>	i.e., development integration tests are difficult to make into monitoring
May 26 22:15:35 <whack>	kallistec: yeah, or in my case "run all checks for this service"
May 26 22:15:39 <ickymettle>	what are those mozilla graphs measuring ?
May 26 22:15:49 <lusis>	ickymettle, data visualization suckage
May 26 22:15:52 <lusis>	;)
May 26 22:15:55 <lusis>	seriously
May 26 22:16:03 <whack>	ickymettle: likely crash metrics
May 26 22:16:11 <lusis>	ahh
May 26 22:16:22 <kallistec>	whack: eh, it's semantics to me at this point ;) "host" = [service1, service2...]
May 26 22:16:25 <whack>	or perhaps test results
May 26 22:16:47 <whack>	kallistec: nod, but in the case of horizontal services, one host is not worth checking
May 26 22:16:54 <whack>	"How is my hadoop cluster doing?"
May 26 22:16:59 <whack>	vs "How is node 3 doing?"
May 26 22:17:03 <lusis>	whack, I think the guy with 3 nodes in his LB would disagree ;)
May 26 22:17:10 <whack>	business metrics want "How is my hadoop cluster performing?"
May 26 22:17:12 <whack>	so you alert on that.
May 26 22:17:18 <lusis>	cause that's 33% of his capacity lost
May 26 22:17:27 <whack>	when there's a problem, you want "How is node 3 doing?" for debugging
May 26 22:17:30 <jdixon>	I could care less about "how is my X service doing"
May 26 22:17:49 <jdixon>	what I want to know is "what X is causing failure on Y?"
May 26 22:18:14 <kallistec>	whack: I think you still want it, if you buy in to running all your checks as verification that your config mgmt did what it should do
May 26 22:18:37 <whack>	kallistec:  and what if your config management is what pushes your monitoring config?
May 26 22:18:40 <whack>	(like mine does)
May 26 22:18:42 *	jdixon avoids rant on business metrics vs IT metrics
May 26 22:18:57 <whack>	jdixon: business metrics are for alerting, IT metrics are for debugging
May 26 22:19:01 <kallistec>	whack: yeah, mine does as well
May 26 22:19:02 <whack>	and maybe capacity plans or such
May 26 22:19:18 <kallistec>	it's a tricky case at that edge
May 26 22:19:18 <lusis>	there's value in the intersection
May 26 22:19:20 <jdixon>	IT metrics are for business
May 26 22:19:26 <jdixon>	they're one and the same
May 26 22:19:31 <jdixon>	the point is TO FUCKING MAKE MONEY
May 26 22:19:42 <jdixon>	IT is there to support your business, not vice versa
May 26 22:19:46 <whack>	jdixon: "load average on node253235 is greater than 3.4!!!" is not a business metric
May 26 22:20:09 <jdixon>	"what is causing my servers to slow down and stop selling shit, causing me Y lost sales per hour"
May 26 22:20:22 <whack>	"ad click throughs dropped 30% after we deployed an hour ago"
May 26 22:20:23 <lusis>	jdixon, EC2
May 26 22:20:25 <lusis>	;)
May 26 22:20:28 <kallistec>	whack: anyway, the example I'm getting at is you push bad config to 1/N, detect that it sucked and stop rolling through
May 26 22:20:31 *	jdixon smacks lusis with a whack 
May 26 22:20:35 <lusis>	hahahaha
May 26 22:21:05 <lusis>	kallistec, ahhh I see where you're going now
May 26 22:21:09 <lusis>	I was a bit fuzzy
May 26 22:21:19 <kallistec>	the overall system will hardly notice unless you're at/near 100%
May 26 22:21:27 <kallistec>	in which case you're screwed anyway
May 26 22:23:01 <whack>	From my point of view, what would help me  write code if I decided to reinvent a monitoring wheel, is some list of what folks wanted to do
May 26 22:23:04 <kallistec>	all the existing work in this area focuses on reusing testing tools, but the impedance mismatch there is lame
May 26 22:23:14 <whack>	like "What I want monitoried and how I want to interact with it"
May 26 22:23:35 <lusis>	whack, I think the problem there is that it's too big of a pool
May 26 22:23:37 <whack>	like, I'd love to have a "false alarm!" button.
May 26 22:24:26 <ickymettle>	that kinda comes back to being able to correlate more that just checkes
May 26 22:24:28 <lusis>	what would you do with the false alarm button?
May 26 22:24:33 <lusis>	have it learn from it?
May 26 22:24:41 <whack>	lusis: track it, get a report later that says "this check is noisy"
May 26 22:24:47 <whack>	rather than having folks bitch about how nagios sucks
May 26 22:24:48 <ickymettle>	each week in our monitor review it's like ... oh yeah 80% of those criticals were changes we made rather than real problems
May 26 22:24:50 <whack>	I'd see "this check sucks"
May 26 22:24:59 <lusis>	whack, gotcha
May 26 22:25:05 <whack>	there's no feedback 
May 26 22:25:07 <kallistec>	yeah, that would be dope
May 26 22:25:18 <whack>	other than a coworker going "Fucking pagerdugy woke me up at 3am again"
May 26 22:25:25 <whack>	"and it went away by the time I checked it"
May 26 22:25:28 <kallistec>	lol, each monitor can have a "dislike" button
May 26 22:25:32 <ickymettle>	so if we could say .. "this cookbook change modified httpd.conf and they went boom" can tag that as we broke
May 26 22:25:34 <whack>	kallistec: hah
May 26 22:25:38 <whack>	hook that shit up with facebook
May 26 22:25:40 <whack>	"like"
May 26 22:25:41 <kallistec>	and you can unfriend them
May 26 22:26:03 <lusis>	kallistec, sounds like datadog ;)
May 26 22:26:20 <lusis>	kallistec, combine yammer/facebook with graphite
May 26 22:26:24 <ickymettle>	oh man if you could solve the "and it went away by the time I checked it" problem this new monitoring system would be a winner haha
May 26 22:26:40 <whack>	so
May 26 22:26:43 <ickymettle>	new definition of "social graph"
May 26 22:26:47 <whack>	you're asking for a diaspora-based monitoring tool
May 26 22:27:06 <kallistec>	ickymettle: well, the answer is to build useful metrics into your app
May 26 22:27:27 <jdixon>	yes, the social aspect is useful only to a subset
May 26 22:27:32 <kallistec>	sadly, by the time you REALLY need it, it's too late
May 26 22:27:44 <whack>	"I didn't get that alert because I didn't friend it"
May 26 22:27:45 <whack>	I like this.
May 26 22:27:47 <lusis>	hahahaha
May 26 22:27:52 <jdixon>	the biggest problem with nagios is the degredation/abstration of data
May 26 22:27:58 <ickymettle>	going back to new relic one feature that was kinda nice is the ability to annotate graphs
May 26 22:28:11 <whack>	ickymettle: yeah
May 26 22:28:14 <jdixon>	indeed
May 26 22:28:19 <lusis>	ickymettle, that's what datadog is doing too
May 26 22:28:21 <geekle_>	Crowdsourced monitoring tool?
May 26 22:28:22 <whack>	oncall can click and mark notes and such
May 26 22:28:24 <geekle_>	:D
May 26 22:28:27 <jdixon>	that was on my circonus roadmap. sigh.
May 26 22:28:32 <lusis>	take that and add in a discussion thread
May 26 22:28:41 <jdixon>	annotating events is huge
May 26 22:28:42 <kallistec>	yeah, as far as graphs, what you need is multiple y axis scales also
May 26 22:28:48 <jdixon>	kallistec: indeed
May 26 22:28:52 <jdixon>	reconnoiter does that
May 26 22:28:53 <lusis>	http://www.datadoghq.com/
May 26 22:28:56 <kallistec>	saddest part about graphite
May 26 22:29:04 <jdixon>	kallistec: I'm working on that for graphite.
May 26 22:29:08 <kallistec>	though it's just the front end
May 26 22:29:13 <kallistec>	jdixon: rock on man
May 26 22:29:33 <whack>	re: dashboarding; a friend of mine is/was working on a dashboard tool for graphite
May 26 22:29:46 <jdixon>	take a number :-P
May 26 22:30:00 <whack>	https://github.com/fetep/pencil
May 26 22:30:04 <whack>	no idea what the status is
May 26 22:30:35 <lusis>	anyone see the project danryan is working on?
May 26 22:30:53 <lusis>	https://github.com/danryan/overwatch
May 26 22:31:12 <lusis>	kallistec, hahhaha
May 26 22:31:59 <ickymettle>	pencil needs screenshots :(
May 26 22:32:12 <lusis>	okay so something that would help
May 26 22:32:17 <whack>	overwatch sounds like a weaker version of esper
May 26 22:32:20 <lusis>	run off some project names
May 26 22:32:23 <lusis>	links
May 26 22:32:24 <lusis>	whatever
May 26 22:32:27 <whack>	ESPER
May 26 22:32:38 <lusis>	so I have it
May 26 22:32:49 <ickymettle>	one thing I just realised in this entire discussion "hard to configure" was never mentioned
May 26 22:32:57 <ickymettle>	IMHO nagios isn't hard to configure
May 26 22:33:06 <whack>	ickymettle: nod
May 26 22:33:08 <jdixon>	ickymettle: when I said "hard to deploy", that's what I meant
May 26 22:33:09 <whack>	cacti wins worst
May 26 22:33:16 *	jdixon shudders
May 26 22:33:22 <ickymettle>	it's verbose but not hard ... but almost every single "new monitoring" project starts with "nagios is so hard to configure" as one of the goals they want to fix
